surname,strength,surname_clean,surname_eng
अखतर,26,अखतर,Akhtar
अखत्र,1,अखत्र,Akhtra
अख़तर,2,अख़तर,Akhtar
अख़लाक़,1,अख़लाक़,Akhlaq
अख्तर,170,अख्तर,Akhtar
अख्तार,12,अख्तार,Akhtar
अग्रज,1,अग्रज,Agraj
अछालमगीर,1,अछालमगीर,Achhalmagir
अजनबी,2,अजनबी,Ajnabi
अजनल,1,अजनल,Ajnal
अजनवी,1,अजनवी,Ajnavi
अजम,1,अजम,Ajam
अजमद,1,अजमद,Ajamad
अजमल,5,अजमल,Ajmal
अजमल्खं,1,अजमल्खं,Ajamalkham
अजय,5,अजय,Ajay
अजहर,5,अजहर,Azhar
अज़िया,1,अज़िया,Azia
अज़ीज़,15,अज़ीज़,Aziz
अज़ीम,4,अज़ीम,Azeem
अजांर,1,अजांर,Ajanr
अजाज़,1,अजाज़,Ajaz
अजाद,13,अजाद,Ajad
अजान,1,अजान,Ajaan
अजानी,1,अजानी,Ajani
अजाम,1,अजाम,Azaam
अजार,2,अजार,Azaar
अजिज,3,अजिज,Aziz
अजिम,1,अजिम,Azim
अजीज,67,अजीज,Aziz
अजीज़,1,अजीज़,Aziz
अजीम,25,अजीम,Azim
अजीमउदीन,1,अजीमउदीन,Azimudin
अजुला,1,अजुला,Ajula
अज्जू,1,अज्जू,Ajju
अज्मुल,1,अज्मुल,Azmul
अताउल्लाह,1,अताउल्लाह,Attaullah
अताउल्‍्ला,1,अताउल््ला,Ataulla
अतावुल,1,अतावुल,Atavul
अतीक,2,अतीक,Atik
अत्ताउल्‍्लाह,1,अत्ताउल््लाह,Attaullah
अदालत,1,अदालत,Adalat
अदीब,1,अदीब,Adeeb
अन,1,अन,An
अनजर,2,अनजर,Anjar
अनज़र,1,अनज़र,Anajar
अनजार,4,अनजार,Anajar
अनद,1,अनद,Anad
अनबर,1,अनबर,Anbar
अनल,4,अनल,Anal
अनवर,59,अनवर,Anavar
अनवारूलवहक,1,अनवारूलवहक,Anavarulavahak
अनवारूलहक,1,अनवारूलहक,Anavarulhak
अनसार,2,अनसार,Ansaar
अनसारी,16,अनसारी,Ansari
अनस्ति,1,अनस्ति,Anasti
अनिल,1,अनिल,Anil
अनिश,4,अनिश,Anish
अनिशर्खों,1,अनिशर्खों,Anisharkhon
अनिसुद्दीन,1,अनिसुद्दीन,Anisuddin
अनीश,4,अनीश,Aneesh
अनीस,6,अनीस,Anis
अनुग्रह,1,अनुग्रह,Anugraha
अनुपम,1,अनुपम,Anupam
अनुल,1,अनुल,Anul
अन्जर,1,अन्जर,Anjar
अन्जार,4,अन्जार,Anjar
अन्तर,1,अन्तर,Antar
अन्तार,1,अन्तार,Antar
अन्बर,1,अन्बर,Anbar
अन्सम,1,अन्सम,Ansam
अन्साररु,1,अन्साररु,Ansararu
अन्सारी,13,अन्सारी,Ansari
अन्‍सारी,5,अन्सारी,Ansari
अन्‍्सारी,23,अन््सारी,Ansari
अफजल,19,अफजल,Afzal
अफज़ल,2,अफज़ल,Afzal
अफजाल,1,अफजाल,Afzaal
अफताब,7,अफताब,Aftab
अफताबुल,1,अफताबुल,Aftabul
अफताव,1,अफताव,Aftav
अफरोज,3,अफरोज,Afroj
अफशर,1,अफशर,Afshar
अफसर,7,अफसर,Afsar
अफसार,1,अफसार,Afsar
अफ़ज़ल,5,अफ़ज़ल,Afzal
अबजल,1,अबजल,Abzal
अबदिन,1,अबदिन,Abdin
अबबास,1,अबबास,Ababas
अबरार,2,अबरार,Abrar
अबसस,1,अबसस,Absas
अबास,3,अबास,Abas
अबुजर,1,अबुजर,Abujar
अबुतालीवृद्वीन,1,अबुतालीवृद्वीन,Abutalivridvin
अबुल,4,अबुल,Aboul
अबुसालेहतावे,1,अबुसालेहतावे,Abusalehatave
अबुहसन,1,अबुहसन,Abuhasan
अबेदीन,1,अबेदीन,Abedin
अब्जम,1,अब्जम,Abjam
अब्दाअली,1,अब्दाअली,Abdaali
अब्दीन,7,अब्दीन,Abdin
अब्दुल,5,अब्दुल,Abdul
अब्दुल्ला,1,अब्दुल्ला,Abdullah
अब्दुल्लाह,4,अब्दुल्लाह,Abdullah
अब्दृदीन,1,अब्दृदीन,Abdridin
अब्बास,35,अब्बास,Abbas
अब्बृतालिव,1,अब्बृतालिव,Abbritaliv
अब्राहिम,1,अब्राहिम,Abrahim
अब्वास,1,अब्वास,Abwas
अभय,1,अभय,Abhaya
अभिषेक,2,अभिषेक,Abhishek
अमजद,5,अमजद,Amjad
अमज़द,3,अमज़द,Amjad
अमजाद,1,अमजाद,Amjad
अमन,1,अमन,Aman
अमर,8,अमर,Amar
अमरेन्द्र,1,अमरेन्द्र,Amarendra
अमष्ट,4,अमष्ट,Amasht
अमहात॑,1,अमहात॑,Amahata
अमानुलाह,1,अमानुलाह,Amanulah
अमानुल्ला,1,अमानुल्ला,Amanulla
अमानुल्लाह,1,अमानुल्लाह,Amanullah
अमिन,4,अमिन,Amin
अमीन,15,अमीन,Amin
अमीनउदीन,1,अमीनउदीन,Aminudin
अमीम,1,अमीम,Ameem
अमीर,3,अमीर,Amir
अम्मानुलाह,1,अम्मानुलाह,Ammanulah
अम्लिक,1,अम्लिक,Amlik
अयाज,4,अयाज,Ayaz
अयुब,15,अयुब,Ayub
अयुबउधीन,1,अयुबउधीन,Ayubudhin
अयुव,1,अयुव,Ayuv
अयूब,17,अयूब,Ayyub
अयोध्यासाव,1,अयोध्यासाव,Ayodhyasav
अय्याज,2,अय्याज,Ayyaz
अय्याज़,1,अय्याज़,Ayyaz
अय्यूब,1,अय्यूब,Ayyub
अरफत,1,अरफत,Arfat
अरफान,1,अरफान,Arfan
अरमान,26,अरमान,Armaan
अरविंद,1,अरविंद,Aravind
अरविन्द,2,अरविन्द,Aravind
अरशद,9,अरशद,Arshad
अरशाद,5,अरशाद,Arshad
अरसद,4,अरसद,Arasad
अरसाड,1,अरसाड,Arsad
अरहाद,1,अरहाद,Arhad
अरिम,1,अरिम,Arim
अरीफ,1,अरीफ,Arif
अरूण,1,अरूण,Aroon
अरोज,1,अरोज,Aroj
अर्नव,1,अर्नव,Arnav
अलंम,1,अलंम,Alanm
अलतमस,1,अलतमस,Altamas
अलताफ,1,अलताफ,Altaf
अलबेला,2,अलबेला,Albela
अलबैला,3,अलबैला,Albaila
अलम,7,अलम,Alam
अलमगीर,5,अलमगीर,Almagir
अलमद,1,अलमद,Almad
अलमास,1,अलमास,Almas
अलसम,2,अलसम,Alsam
अलाउददीन,4,अलाउददीन,Alauddin
अलाउदीन,8,अलाउदीन,Alaudin
अलाउद्दीन,37,अलाउद्दीन,Alauddin
अलाउद्धीन,7,अलाउद्धीन,Alauddhin
अलाउद्‌दी,1,अलाउद्दी,Alauddi
अलाद्धीन,1,अलाद्धीन,Aladdhin
अलाम,2,अलाम,Alaam
अलामं,1,अलामं,Alamam
अलाम॑,2,अलाम॑,Alama
अलाल्म,2,अलाल्म,Alalm
अलाह,1,अलाह,Alah
अलाहुदृदीन,1,अलाहुदृदीन,Alahudridin
अलि,47,अलि,Ali
अलिखाँ,1,अलिखाँ,Alikhan
अलिजान,1,अलिजान,Alijan
अली,1014,अली,Alie
अलीं,1,अलीं,Alin
अलीउदीन,1,अलीउदीन,Aliudeen
अलीजान,1,अलीजान,Alijan
अलीजानउद्दीन,1,अलीजानउद्दीन,Alijanuddin
अलीजौहर,1,अलीजौहर,Alijauhar
अलीबक्श,1,अलीबक्श,Alibaksh
अलीम,25,अलीम,Alim
अलीमुद्दीन,2,अलीमुद्दीन,Alimuddin
अलीशेर,1,अलीशेर,Alisher
अलौक,1,अलौक,Alouk
अलौद्धीन,2,अलौद्धीन,Alouddhin
अल्ताफ,1,अल्ताफ,Altaf
अल्लम,1,अल्लम,Allam
अल्लाउददीन,1,अल्लाउददीन,Allauddin
अल्लाउदिंदन,2,अल्लाउदिंदन,Allaudindan
अल्लाउदीन,4,अल्लाउदीन,Allaudin
अल्लाउद्ंदन,1,अल्लाउद्ंदन,Allaudndan
अल्लाउद्दिन,1,अल्लाउद्दिन,Allauddin
अल्लाउद्दीन,4,अल्लाउद्दीन,Allauddin
अल्लाऊद्दीन,4,अल्लाऊद्दीन,Allauddin
अल्लाह,4,अल्लाह,Allah
अल्लाह.,1,अल्लाह,Allah
अल्लाहउद्दीन,1,अल्लाहउद्दीन,Allahauddin
अल्ली,1,अल्ली,Alli
अल्लौदृदीन,3,अल्लौदृदीन,Allaudridin
अल्हाउद्दीन,1,अल्हाउद्दीन,Alhauddin
अल्हौद्दीन,2,अल्हौद्दीन,Alhouddin
अल्‍्ला,1,अल््ला,Alla
अल्‍्लाउद्दीन,5,अल््लाउद्दीन,Allauddin
अल्‍्ली,2,अल््ली,Alli
अवतार,1,अवतार,Avatar
अवदीन,2,अवदीन,Avdeen
अवदुल,1,अवदुल,Avdul
अववास,1,अववास,Avavas
अवादीन,1,अवादीन,Avadin
अवास,3,अवास,Avas
अविद,3,अविद,Avid
अशकार,2,अशकार,Ashkar
अशन,2,अशन,Ashan
अशफाक,4,अशफाक,Ashfaq
अशरफ,21,अशरफ,Ashraf
अशलम,1,अशलम,Ashlam
अशलमर्खी,1,अशलमर्खी,Ashlamarkhi
अशीन,1,अशीन,Ashin
अशोक,2,अशोक,Ashoka
अश्फाक,1,अश्फाक,Ashfaq
असकर,1,असकर,Askar
असकार,4,असकार,Askar
असगर,46,असगर,Asgar
असग़र,1,असग़र,Asghar
असगार,2,असगार,Asgar
असदक,1,असदक,Asadak
असन,1,असन,Asan
असपाक,1,असपाक,Aspak
असफहान,1,असफहान,Asfahan
असफाक,2,असफाक,Asafaq
असमान,1,असमान,Asman
असरथी,1,असरथी,Asrathi
असरफ,23,असरफ,Asraf
असरफा,1,असरफा,Asrafa
असरी,1,असरी,Asri
असरुफ़,1,असरुफ़,Asaruf
असलम,172,असलम,Aslam
असलम*,1,असलम,Aslam
असलमर्खी,1,असलमर्खी,Aslamarkhi
असलाम,2,असलाम,Aslam
असांरी,5,असांरी,Asanri
असारि,1,असारि,Asari
असारी,12,असारी,Asari
असीन,1,असीन,Asin
असीम,2,असीम,Asim
अस्तिक,1,अस्तिक,Astik
अस्लम,9,अस्लम,Aslam
अहकद,1,अहकद,Ahkad
अहद,2,अहद,Ahad
अहम,2,अहम,Aham
अहमउ,1,अहमउ,Ahmu
अहमद,1005,अहमद,Ahmed
अहमदूद,1,अहमदूद,Ahmedood
अहम्मद,3,अहम्मद,Ahmmad
अहम्मेद,3,अहम्मेद,Ahmmed
अहया,1,अहया,Ahaya
अहसन,3,अहसन,Ahsan
अहसान,3,अहसान,Ahsaan
अहिया,1,अहिया,Ahiya
अहुबब्द,1,अहुबब्द,Ahubabd
अहेमद,4,अहेमद,Ahemad
अहैमद,6,अहैमद,Ahaimad
अुहम्मद,1,अुहम्मद,Ahummad
आंसरी,1,आंसरी,Ansri
आंसारी,3,आंसारी,Ansari
आकाश,1,आकाश,Aakash
आकिल,1,आकिल,Aakil
आकीब,1,आकीब,Akib
आकुम,1,आकुम,Aakum
आकुव,4,आकुव,Aakuv
आजम,30,आजम,Azam
आजमी,4,आजमी,Ajami
आजर,1,आजर,Azar
आज़म,9,आज़म,Azam
आज़मी,3,आज़मी,Azmi
आज़ाद,2,आज़ाद,Azad
आजाद,93,आजाद,Azad
आजिम,1,आजिम,Azim
आझमी,1,आझमी,Azmi
आतिग,1,आतिग,Atig
आदिल,3,आदिल,Aadil
आदील,1,आदील,Adil
आनंद,7,आनंद,Ananda
आनन्द,12,आनन्द,Ananda
आफताब,17,आफताब,Aftab
आफताव,1,आफताव,Aftav
आफरीदी,1,आफरीदी,Afridi
आफ़रीदी,1,आफ़रीदी,Afridi
आफ्टर,1,आफ्टर,After
आबदीन,7,आबदीन,Abdin
आबास,1,आबास,Abas
आबिद,17,आबिद,Abid
आबीद,2,आबीद,Abid
आबीदन,1,आबीदन,Abidan
आबीदीन,5,आबीदीन,Abidin
आबेद,1,आबेद,Abed
आबेदिन,1,आबेदिन,Abedin
आबेदीन,9,आबेदीन,Abedeen
आब्दीन,3,आब्दीन,Abdin
आम,1,आम,Aam
आमिर,4,आमिर,Amir
आमीन,2,आमीन,Amin
आमीर,1,आमीर,Amir
आयातुल्लाह,1,आयातुल्लाह,Ayatullah
आयुब,2,आयुब,Ayub
आयूब,1,आयूब,Ayub
आरजु,1,आरजु,Aaraju
आरजू,3,आरजू,Aarzoo
आरफ़ीन,1,आरफ़ीन,Arfin
आरफीन,1,आरफीन,Arfin
आरा,3,आरा,Arra
आरिक,1,आरिक,Arik
आरिफ,42,आरिफ,Aarif
आरिफ़,1,आरिफ़,Arif
आरिस,1,आरिस,Aris
आरी,1,आरी,Aari
आरीफ,7,आरीफ,Areef
आर्य,24,आर्य,Arya
आर्या,4,आर्या,Arya
आर्या.,2,आर्या,Arya
आलम,2905,आलम,Alam
आलमं,1,आलमं,Alamam
आलमक,1,आलमक,Almak
आलमगिर,1,आलमगिर,Almagir
आलमगीर,18,आलमगीर,Alamgir
आला,1,आला,Ala
आलाम,5,आलाम,Aalaam
आलाह,1,आलाह,Aalaah
आलिम,1,आलिम,Alim
आली,2,आली,Ali
आलीम,3,आलीम,Alim
आलों,1,आलों,Alon
आल्हा,1,आल्हा,Alha
आवदीन,7,आवदीन,Avdin
आवदृदीन,1,आवदृदीन,Avadridin
आवास,1,आवास,Avas
आविद,5,आविद,Avid
आवीद,4,आवीद,Avid
आवेदिन,4,आवेदिन,Avedin
आवेदीन,4,आवेदीन,Avedin
आशान,1,आशान,Aashaan
आशिक,10,आशिक,Aashiq
आशिफ,2,आशिफ,Aashif
आशिम,2,आशिम,Ashim
आशीक,3,आशीक,Aasheeq
आशीन,3,आशीन,Aasheen
आसिक,8,आसिक,Asik
आसिन,4,आसिन,Aasin
आसिफ,8,आसिफ,Aashif
आसिम,2,आसिम,Asim
आसीक,1,आसीक,Aseek
आसीन,18,आसीन,Asin
आसीफ,2,आसीफ,Asif
आसीम,1,आसीम,Aseem
आस्तिक,4,आस्तिक,Astik
आस्लम,1,आस्लम,Aslam
इंतेखाब,1,इंतेखाब,Intekhab
इकबाल,31,इकबाल,Iqbal
इकराम,4,इकराम,Ikram
इकवाल,5,इकवाल,Ikaval
इक़बाल,22,इक़बाल,Iqbal
इक्राम,2,इक्राम,Ikram
इक्वल,1,इक्वल,Equal
इक्‌7वाल,1,इक्वाल,Equal
इखलाक,2,इखलाक,Ikhlaq
इखलाख,1,इखलाख,Ikhlakh
इखलास,1,इखलास,Ikhlas
इजराइल,1,इजराइल,Israeli
इजहार,15,इजहार,Izhar
इज़त,1,इज़त,Izat
इज़हार,3,इज़हार,Izhar
इजाहर,1,इजाहर,Izahar
इतमिनान,1,इतमिनान,Itaminan
इदरिल,2,इदरिल,Idril
इदरिश,1,इदरिश,Idrish
इदरिस,4,इदरिस,Idris
इदरीश,33,इदरीश,Idrish
इदरीस,21,इदरीस,Idrees
इद्रिश,4,इद्रिश,Idrish
इद्रिस,1,इद्रिस,Idris
इद्रीश,1,इद्रीश,Idrish
इद्रीस,5,इद्रीस,Idries
इनतियाज,1,इनतियाज,Intiyaj
इनाम,10,इनाम,Inam
इनामुल,1,इनामुल,Inamul
इनामूल,1,इनामूल,Inamul
इन्द्रीश,1,इन्द्रीश,Indrish
इफतेखार,2,इफतेखार,Iftekhar
इफतेहशाम,1,इफतेहशाम,Iftehsham
इफतैवार,1,इफतैवार,Iftaivar
इफर्तर,2,इफर्तर,Ifarter
इफर्तेंखर,1,इफर्तेंखर,Ifartenkhar
इफ़तेख़ार,1,इफ़तेख़ार,Iftekhar
इफ़तैख़ार,1,इफ़तैख़ार,Iftaikhar
इफेतखार,1,इफेतखार,Ifetkhar
इफ्तेखार,2,इफ्तेखार,Iftekhar
इफ्तेखेर,1,इफ्तेखेर,Iftekher
इबरहीम,1,इबरहीम,Ibrahim
इबरा,1,इबरा,Ibra
इबराइल,1,इबराइल,Ibrail
इबरायल,1,इबरायल,Ibrayal
इबरार,36,इबरार,Ibrar
इबराहिम,2,इबराहिम,Ibrahim
इबारहिम,1,इबारहिम,Ibarhim
इब्ररार,1,इब्ररार,Ibrarar
इब्रहिम,1,इब्रहिम,Ibrahim
इब्राइल,1,इब्राइल,Ibrail
इब्राहिम,11,इब्राहिम,Ibrahim
इब्राहीम,22,इब्राहीम,Ibrahim
इमतियाज,6,इमतियाज,Imatiyaz
इमतेआज,1,इमतेआज,Imateaz
इमतेयाज,1,इमतेयाज,Imateaz
इमतैयाज,1,इमतैयाज,Imataiyaj
इमत्याज,2,इमत्याज,Imatyaj
इमरान,24,इमरान,Imran
इमरार,1,इमरार,Imrar
इमाद,1,इमाद,Imaad
इमाम,25,इमाम,Imaam
इमामन,1,इमामन,Imaman
इमार,3,इमार,Imaar
इम्जेयज,1,इम्जेयज,Imjeaj
इम्तयाज,1,इम्तयाज,Imtyaj
इम्तायज,1,इम्तायज,Imtayaz
इम्तियाज,13,इम्तियाज,Imtiyaj
इम्तियाज़,9,इम्तियाज़,Imtiaz
इम्तीयाज,1,इम्तीयाज,Imtiyaz
इम्तेयाज,12,इम्तेयाज,Imteyaj
इम्तेयाज़,2,इम्तेयाज़,Imteyaz
इया,1,इया,Iya
इयूफ,1,इयूफ,Iyoof
इरकी,1,इरकी,Irki
इरफ़ान,30,इरफ़ान,Irfan
इरफान,17,इरफान,Irfan
इरशाद,14,इरशाद,Irshad
इरसा,2,इरसा,Irasa
इरसाद,9,इरसाद,Irasad
इराकी,9,इराकी,Iraqi
इरुलम,1,इरुलम,Irulam
इर्म0ेतयाज,1,इर्मेतयाज,Irmetyaz
इलताफ,8,इलताफ,Iltaf
इलयास,17,इलयास,Ilyas
इलाम,1,इलाम,Ilam
इलाही,1,इलाही,Ilahi
इलियास,35,इलियास,Iliyas
इलीयास,2,इलीयास,Ilias
इल्ताफ,1,इल्ताफ,Iltaf
इल्ताफ़,1,इल्ताफ़,Iltaf
इल्ताब,1,इल्ताब,Iltab
इल्यांस,1,इल्यांस,Ilyans
इल्यास,6,इल्यास,Ilyas
इल्यिस,3,इल्यिस,Ilyis
इवरार,3,इवरार,Evrar
इवराहिम,1,इवराहिम,Everahim
इवारार,2,इवारार,Evarar
इशक,2,इशक,Ishaq
इशफ़ाक़,1,इशफ़ाक़,Ishfaq
इशफाक,1,इशफाक,Ishfaq
इशमाईल,1,इशमाईल,Ishamayil
इशरत,4,इशरत,Ishrat
इशराईल,4,इशराईल,Ishrail
इशरायल,1,इशरायल,Ishrayal
इशरार,2,इशरार,Ishrar
इशहाक,1,इशहाक,Ishhaque
इशहाक़,2,इशहाक़,Ishhaq
इशहार,1,इशहार,Ishhaar
इशाक,3,इशाक,Ishaq
इशुक,3,इशुक,Ishuk
इश्तियाक,1,इश्तियाक,Ishtiyaq
इश्तैयाक,2,इश्तैयाक,Ishtaiyak
इश्रयल,1,इश्रयल,Isryl
इश्लम,1,इश्लम,Ishlam
इश्हाक,1,इश्हाक,Ishhaq
इसतयाक,2,इसतयाक,Istyak
इसताक,1,इसताक,Istaq
इसतियाक,2,इसतियाक,Istiak
इसतेखार,1,इसतेखार,Isatekhar
इसद,1,इसद,Isad
इसदा,2,इसदा,Isada
इसफाक,2,इसफाक,Isphak
इसमाइल,3,इसमाइल,Ismail
इसमाईल,9,इसमाईल,Ismayil
इसरत,1,इसरत,Isarat
इसरफिल,2,इसरफिल,Isarfil
इसरफील,1,इसरफील,Isarfil
इसराइल,53,इसराइल,Israel
इसराईल,31,इसराईल,Israil
इसराफिल,10,इसराफिल,Israfil
इसराफील,5,इसराफील,Isarafiel
इसरायल,15,इसरायल,Israyal
इसरायाल,1,इसरायाल,Israyal
इसरार,2,इसरार,Israr
इसराल,2,इसराल,Isral
इसलम,1,इसलम,Islam
इसलमाहक,1,इसलमाहक,Islamahak
इसलाम,43,इसलाम,Islam
इसलामउदृदीन,1,इसलामउदृदीन,Islamudridin
इसहाक,26,इसहाक,Isahak
इसहाक़,1,इसहाक़,Isaaq
इसा,2,इसा,Isa
इसाक,5,इसाक,Isaac
इसाक़,1,इसाक़,Isaq
इसाख,2,इसाख,Isakh
इसाय्क,1,इसाय्क,Isayk
इसितयाक,1,इसितयाक,Isityak
इसूफ,2,इसूफ,Isuf
इस्तयाक,2,इस्तयाक,Istyak
इस्ताक,1,इस्ताक,Istaq
इस्तायक,1,इस्तायक,Istayak
इस्तियाक,15,इस्तियाक,Istiyak
इस्तियाक़,2,इस्तियाक़,Istiyaq
इस्तेखर,1,इस्तेखर,Istekhar
इस्तेखार,3,इस्तेखार,Istekhar
इस्तेपाक,1,इस्तेपाक,Istepaq
इस्तेमाल,1,इस्तेमाल,Istemal
इस्तेयाक,9,इस्तेयाक,Isteaq
इस्तेयाक़र,2,इस्तेयाक़र,Isteaqar
इस्तेयाक्,1,इस्तेयाक्,Isteaq
इस्फाक,1,इस्फाक,Isphak
इस्माइल,16,इस्माइल,Ismail
इस्माईल,2,इस्माईल,Ismayil
इस्मिल,1,इस्मिल,Ismil
इस्रयल,2,इस्रयल,Isryl
इस्रल,1,इस्रल,Isral
इस्राइल,4,इस्राइल,Israel
इस्राफिल,1,इस्राफिल,Israfil
इस्राफील,1,इस्राफील,Israfil
इस्रायल,2,इस्रायल,Israyal
इस्लाम,50,इस्लाम,Islam
ईकबाल,1,ईकबाल,Iqbal
ईदरीश,1,ईदरीश,Eedareesh
ईनाम,1,ईनाम,Eenam
ईमरान,2,ईमरान,Eemaran
ईमाम,8,ईमाम,Emam
ईरशाद,1,ईरशाद,Eerashad
ईलयाश,1,ईलयाश,Ilyash
ईलयास,1,ईलयास,Ilyas
ईलियास,1,ईलियास,Ilias
ईल्यास,2,ईल्यास,Ilyas
ईवरार,1,ईवरार,Evrar
ईशराईल,2,ईशराईल,Isharayil
ईशा,2,ईशा,Eesha
ईशान,1,ईशान,Ishaan
ईसफाक,1,ईसफाक,Isfaq
ईसबइल,1,ईसबइल,Isbail
ईसमाईल,3,ईसमाईल,Eesmayil
ईसर,1,ईसर,Isar
ईसराइल,7,ईसराइल,Israil
ईसराईल,5,ईसराईल,Isarail
ईसराफिल,1,ईसराफिल,Eesaraphil
ईसरायल,1,ईसरायल,Israyl
ईसलाम,6,ईसलाम,Islam
ईसा,4,ईसा,Isa
ईसाक,1,ईसाक,Isaac
ईसार,1,ईसार,Isar
ईस्लाम,1,ईस्लाम,Eslam
उ,2,उ,U
उईददीन,1,उईददीन,Uidadin
उग्र,4,उग्र,Ugra
उज़मा,1,उज़मा,Ujama
उज्जम,2,उज्जम,Ujjam
उठा,1,उठा,Utha
उड़ीं,1,उड़ीं,Udin
उददीन,67,उददीन,Uddin
उददृदीन,1,उददृदीन,Uddridin
उदरीश,1,उदरीश,Udrish
उदिदन,5,उदिदन,Udidan
उदिदमं,1,उदिदमं,Udidamam
उदिदिन,1,उदिदिन,Udidin
उदिन,27,उदिन,Udin
उदीन,1223,उदीन,Udin
उदीप,1,उदीप,Udeep
उदृदीन,1,उदृदीन,Udrideen
उद्घीन,20,उद्घीन,Udghin
उद्दाम,1,उद्दाम,Uddam
उद्दिउन,1,उद्दिउन,Uddiun
उद्दिन,2,उद्दिन,Uddin
उद्दी,1,उद्दी,Uddi
उद्दीज,1,उद्दीज,Uddij
उद्दीन,2185,उद्दीन,Uddin
उद्दीन1,1,उद्दीन,Uddin
उद्दीन],1,उद्दीन,Uddin
उद्दीप,2,उद्दीप,Uddeep
उद्दीम,1,उद्दीम,Uddim
उद्दौला,1,उद्दौला,Uddaula
उद्धिन,4,उद्धिन,Uddhin
उद्धीन,122,उद्धीन,Uddhin
उद्बीन,14,उद्बीन,Udbin
उद्यीन,10,उद्यीन,Udyin
उद्यीम,1,उद्यीम,Udyeem
उद्रीन,1,उद्रीन,Udrin
उद्विन,2,उद्विन,Udvin
उद्वीन,2,उद्वीन,Udvin
उद्िन,1,उद्िन,Udni
उद्ीन,2,उद्ीन,Udni
उधीन,6,उधीन,Udhin
उपध्याय,1,उपध्याय,Upadhyaya
उपाध्याय,33,उपाध्याय,Upadhyay
उफउद्दीन,1,उफउद्दीन,Ufauddin
उफ्तखार,1,उफ्तखार,Uftkhar
उब्दीन,1,उब्दीन,Ubdin
उमर,31,उमर,Umar
उमरददीन,1,उमरददीन,Umraddin
उमरदराज,1,उमरदराज,Umaradaraj
उमरहेयात,2,उमरहेयात,Umarheat
उमा,1,उमा,Uma
उम्र,1,उम्र,Umra
उम्रदराज,3,उम्रदराज,Umradaraj
उरीन,1,उरीन,Urin
उलला,3,उलला,Ulala
उलल्हा,1,उलल्हा,Ulalha
उलह,5,उलह,Ulah
उलाह,4,उलाह,Ulah
उल्टन,1,उल्टन,Ultan
उल्फत,1,उल्फत,Ulfat
उल्ल,1,उल्ल,Ulla
उल्लः,1,उल्लः,Ullah
उल्लह,4,उल्लह,Ullah
उल्ला,8,उल्ला,Ulla
